# arch: amd64
# source_date_epoch: 1704067200
# columns: package|final_rpmdb|name|epoch|version|release|arch|sha256_header|sigmd5
# direct_rpm: openssl-fips-provider-3.0.7-8.el9.x86_64|https://cdn-ubi.redhat.com/content/public/ubi/dist/ubi9/9/x86_64/baseos/os/Packages/o/openssl-fips-provider-3.0.7-8.el9.x86_64.rpm|bbf25303def8e1270675531c47bdad432f6ad8ef4c327556ae65bd6abaf8edb5
# direct_rpm: openssl-fips-provider-so-3.0.7-8.el9.x86_64|https://cdn-ubi.redhat.com/content/public/ubi/dist/ubi9/9/x86_64/baseos/os/Packages/o/openssl-fips-provider-so-3.0.7-8.el9.x86_64.rpm|ab48d98504fae6f8636de027a1ee06d21d5e9c27b7beb247017a6fe55567c5e9
alternatives-1.24-2.el9.x86_64|no|alternatives|0|1.24|2.el9|x86_64|daca973219d8d197c440902f994b852d4125bd6c5bc7e0c766326e7f4b9482e9|5b3d3bc965c4bd15327e54554779cf34
basesystem-11-13.el9.noarch|yes|basesystem|0|11|13.el9|noarch|01a59a06e36f02ce2d63c3ec66655bcf6c484e308f106d2ade807009f4b9215d|16605e0013938a5e21ffdf777cfa86ce
bash-5.1.8-9.el9.x86_64|no|bash|0|5.1.8|9.el9|x86_64|b8f0eef3902e37be3f0a12862b09e50f0b0fd069abc4a432a2352fc49fc03363|57e93b1739cc3512f9f29dcaa8a38055
ca-certificates-2025.2.80_v9.0.305-91.el9.noarch|yes|ca-certificates|0|2025.2.80_v9.0.305|91.el9|noarch|7faef89b97f69ec4949eb5e6a173acc050237cf455ff961e54c55548634eae53|16d4164be9d1b01f2de4f9a84fc86152
coreutils-8.32-40.el9.x86_64|no|coreutils|0|8.32|40.el9|x86_64|b415d1fbc5613f339660f27e046e92b9461d9762a35cebaba11a41cb58459d27|8dd54257ff24583fb7c31bf0effdd1c2
coreutils-common-8.32-40.el9.x86_64|no|coreutils-common|0|8.32|40.el9|x86_64|c79a9a73583e9fa91826eb677aeaa6a3e864b017821ab396bf3666b9b3086d0c|4b18999cae020add174b852022ab62ae
crypto-policies-20260224-1.gitea0f072.el9_8.noarch|yes|crypto-policies|0|20260224|1.gitea0f072.el9_8|noarch|da81d7746eb8c31dbd5aec626c7bf34440bd4d4f2bce24135b36195d616cd2a7|cda426910254e4ba6902d3fdf44c53fa
filesystem-3.16-5.el9.x86_64|yes|filesystem|0|3.16|5.el9|x86_64|f980a0c4132ddf30805e2897ae3728703122b7748dc335a1175cf0a8f7557084|af1812d471b0fc3456fa0a17b3500775
findutils-1:4.8.0-7.el9.x86_64|no|findutils|1|4.8.0|7.el9|x86_64|b025f9471bc070838c958937ccf5b212eaa5a54f466e8a44b7fbd96b49f1d325|66b2f260287cd50e61fb44474fa06698
glibc-2.34-270.el9_8.x86_64|yes|glibc|0|2.34|270.el9_8|x86_64|fc90805ca58c0bda013e6cd60c51b8ca8325c82d6f03e1554fe2af159e4c4543|ee2ab545be8666802207dc0b991e0ebb
glibc-common-2.34-270.el9_8.x86_64|yes|glibc-common|0|2.34|270.el9_8|x86_64|7cefba8903022c3e8a0035e9228a2685bafcd658ad98ce48162c8470bdd5b9c6|1f22ebe5452e0bfba94f495426cc927a
glibc-minimal-langpack-2.34-270.el9_8.x86_64|yes|glibc-minimal-langpack|0|2.34|270.el9_8|x86_64|4dcbd24080a0c1bb3658197d816034d92f21c003b3aa74ba2c7dc72bf34f7485|d4339f00517cb6e0ef899b5a5127a789
gmp-1:6.2.0-13.el9.x86_64|no|gmp|1|6.2.0|13.el9|x86_64|043621b89a0be4195ee739c1d6fcb4dfa00d678d45cb7c678e35f6af6b5a6bab|2a3ce18b89d0de9c7d9079f70600b37b
grep-3.6-5.el9.x86_64|no|grep|0|3.6|5.el9|x86_64|b9cdbebee23363176fbf362e3e006869e24cb2d1c41c73c73fb38caff7804b7b|1c782494a288911225f3f3c780f87180
libacl-2.3.1-4.el9.x86_64|no|libacl|0|2.3.1|4.el9|x86_64|3896bd6e721cd055ea078fb1432110830f5066a399b9d7e4f0d34238af084dce|60e0fde3f7771c02903da07a53be36fd
